Commands:
    CTRL+R    Reset chip
    CTRL+C    Exit

ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x2b (SPI_FAST_FLASH_BOOT)
Saved PC:0x40378eb1
SPIWP:0xee
mode:DIO, clock div:2
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (28) boot: ESP-IDF v5.5.1-838-gd66ebb86d2e 2nd stage bootloader
I (29) boot: compile time Nov 26 2025 12:27:56
I (29) boot: Multicore bootloader
I (30) boot: chip revision: v0.2
I (32) boot: efuse block revision: v1.4
I (36) boot.esp32s3: Boot SPI Speed : 40MHz
I (40) boot.esp32s3: SPI Mode       : DIO
I (44) boot.esp32s3: SPI Flash Size : 4MB
I (47) boot: Enabling RNG early entropy source...
I (52) boot: Partition Table:
I (54) boot: ## Label            Usage          Type ST Offset   Length
I (61) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (67) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (74) boot:  2 factory          factory app      00 00 00010000 003f0000
I (80) boot: End of partition table
I (84) esp_image: segment 0: paddr=00010020 vaddr=3c000020 size=02bb0h ( 11184) map
I (94) esp_image: segment 1: paddr=00012bd8 vaddr=3fc897a8 size=01a58h (  6744) load
I (100) esp_image: segment 2: paddr=00014638 vaddr=40378000 size=017a8h (  6056) load
I (108) esp_image: segment 3: paddr=00015de8 vaddr=00000000 size=0a230h ( 41520) 
I (123) esp_image: segment 4: paddr=00020020 vaddr=42010020 size=080d0h ( 32976) map
I (134) boot: Loaded app from partition at offset 0x10000
I (134) boot: Disabling RNG early entropy source...
# sensor OK (WHO_AM_I = 0x68)
# capture: 128 samples @ 20 ms (~50 Hz)
# columns: ax,ay,az,gx,gy,gz (raw counts)
# press BOOT, wait for GO, then perform the gesture
# ready...
# GO
2816,-124,17600,-955,688,75
3116,108,17292,224,-631,693
2428,-304,18312,-661,1251,659
2528,-44,18668,-1939,1058,63
2548,-148,17324,-2337,-312,755
2224,-704,16444,-1404,-746,683
1796,-376,16784,-935,-104,365
1636,-404,17652,-1720,610,-116
2228,-100,16800,-2089,40,-197
2736,-80,16468,-1254,89,105
2692,-68,16976,-1321,360,393
2100,-360,17244,-1399,382,500
2496,-264,15924,-1270,656,385
2472,-576,15952,-673,3196,630
2388,-516,17692,346,1967,945
1296,-264,19060,546,-159,1622
244,-632,18544,-758,-400,541
1164,-636,19056,-1966,880,-935
2452,12,19152,-2855,-610,-661
2684,140,16548,-2441,-2028,1005
1228,-788,16792,-1610,16,502
964,-728,18116,-2533,1519,-660
1408,-640,17312,-2993,227,-2101
3420,180,16524,-2190,225,-1231
2868,-32,17344,-1863,642,9
2228,-652,17628,-2462,1028,748
232,-1204,17860,-2166,-506,-43
1716,-836,17584,-1762,-1213,-1040
2676,-704,17720,-2245,-428,-885
1308,-1016,17416,-3400,-976,-674
1740,-616,15428,-2258,-1933,-464
2020,-896,14284,-527,67,521
-108,-2112,17688,-1377,6235,-2114
2232,-484,19508,-3923,7353,-3921
2196,88,19624,-5212,3376,-2077
2496,56,17220,-3497,-1765,-371
2712,-728,16532,-2079,-1023,967
1484,-1412,17412,-3113,440,894
852,-2016,16704,-3235,-493,201
684,-2284,14996,-1930,-581,-484
1500,-1160,17708,-450,1656,-2217
2612,-636,19644,-2492,1592,-1683
2476,-444,17704,-2929,-1417,20
1724,-1184,15804,-2415,-451,1189
-316,-2100,16960,-3102,1754,-79
676,-1736,16056,-2742,-248,-1442
1988,-1000,15448,-847,-907,-825
1876,-1192,17432,-626,942,-292
1124,-1372,18448,-2742,1702,-171
1124,-1280,17008,-3451,563,104
1472,-1520,15856,-1700,-1964,638
1444,-1292,15692,1392,-2291,1282
1140,-1608,17100,1850,-1038,371
460,-1688,19060,-595,1879,-574
576,-1808,18404,-3702,661,-1543
1752,-1632,16300,-3105,-906,-1735
2756,-1320,15832,-1177,-745,-732
1236,-1904,17400,-1117,109,-269
# recorded 3 gesture(s)
# ready...
# GO
-,-,-,-,-,-
4700,-264,16096,-9808,2271,-816
2992,-1328,17148,-7962,4575,2343
3376,-2008,15668,-4912,1510,2503
1532,-2000,17812,-4960,1075,1907
152,-2164,16320,-3759,-6196,-1006
3844,-4220,14260,-4211,-1382,-4283
3516,-1728,16576,-4168,113,-3733
2852,-3312,16024,-1925,-2736,-1416
1756,-1624,14424,203,808,521
3484,-2196,14672,1298,-2839,2790
2600,-3144,12104,3704,387,3886
1076,-3468,16208,7707,-477,4372
1692,-3772,17508,6397,-5618,2800
1116,-2820,15304,2333,-2237,-1589
3460,-692,11924,2117,2001,-3227
2624,-2696,11028,5758,1514,-2157
244,-1068,8468,9418,-1710,-4135
3128,1436,9476,12604,1317,-5492
852,2352,10216,18771,-3726,-5490
3736,4864,13344,21734,-6699,-6426
8152,7468,11596,13934,1341,-2900
3588,6032,6832,18009,1236,-123
4560,9984,12208,22614,-199,-793
5460,12160,15432,16912,4949,2275
-4944,7532,13248,13652,6608,-478
-788,11180,17632,13609,1799,-8055
8476,17468,10116,18140,-1613,-3495
2748,15600,21224,15044,3847,-75
-2604,12796,17044,12137,-717,-4179
2476,14892,17660,11454,-2099,-6391
2468,15216,14928,9449,-452,-4690
-408,13772,11952,11880,-7072,-5619
1736,15068,21696,8763,31,-7980
5872,17300,20192,-2819,4024,-5336
5392,17936,15500,-1423,2406,-1227
2092,17712,20108,1480,241,2190
420,17108,25004,-5313,1308,759
3356,18196,23724,-15658,5302,-1037
5800,18360,11812,-13836,-1070,3027
544,15308,16644,-7674,-1465,3895
1996,15604,20356,-15481,3,2546
-72,14292,18740,-22359,3331,1254
1332,13832,13672,-24401,1986,980
1132,11440,10804,-21265,1096,262
3044,12512,16212,-20085,413,1294
1560,12320,19232,-26242,129,1618
392,10192,9192,-29040,4251,1523
-2176,6532,12676,-20650,4212,-692
1608,7464,21228,-18536,-4093,-1518
5288,8880,15784,-26049,-93,1321
-652,812,7928,-24924,7846,2401
-152,624,10736,-15338,2408,111
808,216,17160,-13847,-2896,229
1772,236,9220,-15563,-4203,1520
-280,-3708,8944,-11941,7148,268
380,-2572,16784,-12977,5228,-276
-4712,-5236,17508,-10949,-4877,-2081
460,-5092,4632,-9652,-2828,-4821
4824,-4168,9972,-2868,2031,-2844
2632,-4432,13228,1327,-4125,1800
-632,-5644,11064,7621,-9576,2231
128,-4600,17876,3604,-680,-1554
2744,-3292,16428,-1047,-647,-1144
3584,-2504,13604,2907,-4280,872
1940,-2564,17744,4977,-367,1248
1528,-2624,22224,-1225,329,868
1312,-3572,17160,-1353,-4078,-361
3368,-2556,15272,590,365,-441
2192,-2584,20304,-2077,2169,-97
1988,-3468,16028,-1627,-2504,116
2544,-3208,14404,1300,-667,-45
944,-3444,19252,-1203,1733,-999
2316,-2624,16688,-1899,-1632,-1340
2756,-2612,16056,913,-2597,-556
3208,-2244,16292,-345,-31,-496
2748,-2252,17876,-1397,1435,97
1612,-2648,17364,-1038,-985,-204
3052,-2464,16792,-194,-605,-531
2464,-2564,17680,-1741,1040,-204
2172,-2664,16612,-1641,20,-289
2668,-2724,16628,-439,-1229,92
2128,-2732,16672,-1181,407,-484
2316,-2476,17440,-1770,589,-767
2520,-2632,16660,-127,-1548,-549
2968,-2120,17312,-336,-1182,-326
2704,-2360,17284,-1804,712,-264
1716,-2932,17384,-1714,492,-968
